run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,split,policy,prompts,steps,avg_kl,p95_kl,max_kl,top1_mismatch_rate,avg_retained_ratio,avg_kept_tokens,avg_full_tokens,avg_replay_s_per_step,replay_metric_source,uckv_fallback_steps
outputs/experiments/20260710_191920_203457_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol04_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol04,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.4,calibration,uckv_budget,36,864,0.0611443068074424,0.0049036737997084,5.546971321105957,0.0150462962962962,0.9361922960171593,1058.775462962963,1141.1666666666667,0.155991358078141,fixed_candidate_simulation,0.0
outputs/experiments/20260710_191920_203457_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol04_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol04,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.4,evaluation,uckv_budget,36,864,0.0540961251931234,0.0044860933208837,4.473891258239746,0.0150462962962962,0.9399941617989072,1064.574074074074,1141.9444444444443,0.1587972684603671,fixed_candidate_simulation,0.0
outputs/experiments/20260710_192315_580298_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol045_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol045,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.45,calibration,uckv_budget,36,864,0.0805629221229778,0.0096014166716484,6.63269567489624,0.0185185185185185,0.9229597834191232,1041.7777777777778,1141.1666666666667,0.1557744162104694,fixed_candidate_simulation,0.0
outputs/experiments/20260710_192315_580298_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol045_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol045,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.45,evaluation,uckv_budget,36,864,0.0807618964270699,0.007868461916223,6.390998840332031,0.0219907407407407,0.9317701909598924,1054.0127314814815,1141.9444444444443,0.1588993389553548,fixed_candidate_simulation,0.0
outputs/experiments/20260710_192715_608332_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol05_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol05,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,calibration,uckv_budget,36,864,0.0987716162413236,0.0132856466341762,6.63269567489624,0.0231481481481481,0.912231135870812,1027.925925925926,1141.1666666666667,0.1554639895880248,fixed_candidate_simulation,0.0
outputs/experiments/20260710_192715_608332_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol05_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol05,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,evaluation,uckv_budget,36,864,0.0945442349467256,0.0131437348667531,6.390998840332031,0.0254629629629629,0.9228888684301708,1042.5694444444443,1141.9444444444443,0.158810557294864,fixed_candidate_simulation,0.0
outputs/experiments/20260710_193133_753506_longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.35,calibration,full,24,576,0.0,0.0,0.0,0.0,1.0,1146.2916666666667,1146.2916666666667,0.1386658190815902,actual_replay,
outputs/experiments/20260710_193133_753506_longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.35,calibration,sink4_window_1024,24,576,0.1174005899933337,0.0442619686946272,7.317010879516602,0.0260416666666666,0.8966432584540098,1012.2916666666666,1146.2916666666667,0.1240943407864531,actual_replay,
outputs/experiments/20260710_193133_753506_longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.35,calibration,sink4_window_1280,24,576,0.0002537452253524,0.0016375217237509,0.0182665716856718,0.0,0.9949148507992636,1139.6510416666667,1146.2916666666667,0.1216208912708225,actual_replay,
outputs/experiments/20260710_193133_753506_longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.35,calibration,sink4_window_1536,24,576,0.0,0.0,0.0,0.0,1.0,1146.2916666666667,1146.2916666666667,0.1211326612378671,actual_replay,
outputs/experiments/20260710_193133_753506_longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.35,calibration,sink4_window_512,24,576,0.3474577130783323,2.774608016014099,6.799703598022461,0.078125,0.4580035777497472,516.0,1146.2916666666667,0.1226109337395781,actual_replay,
outputs/experiments/20260710_193133_753506_longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.35,calibration,sink4_window_768,24,576,0.2469845268762497,2.451518833637237,9.145305633544922,0.0520833333333333,0.685230158958924,772.0,1146.2916666666667,0.1237623790555315,actual_replay,
outputs/experiments/20260710_193133_753506_longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.35,calibration,uckv_budget,24,576,0.0002452493697321,0.0015843768778722,0.0182609725743532,0.0,0.9900535899174572,1133.232638888889,1146.2916666666667,0.1346312439964852,actual_replay,
outputs/experiments/20260710_193133_753506_longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.35,calibration,uckv_entropy_adaptive,24,576,1.8262082692302508,6.718146324157715,12.422223091125488,0.3836805555555556,0.0144984518393574,16.29513888888889,1146.2916666666667,0.1207924076284775,actual_replay,
outputs/experiments/20260710_193133_753506_longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval48_seed73_confirm_thr01_besttol_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.35,calibration,window_16,24,576,7.701441722844215,21.694063663482662,26.671531677246094,0.8472222222222222,0.0142016613255735,16.0,1146.2916666666667,0.124479944375,actual_replay,
