run_dir,run_label,seed_id,model,max_prompts,max_new_tokens,uckv2_lambda,uckv2_beta,uckv2_evict_every,split,policy,task_type,prompts,answer_contains,avg_kept_tokens,fallback_steps,abstain_steps,avg_prefill_s,avg_decode_s,decode_tokens_per_s,peak_cache_bytes,avg_cache_bytes,cuda_peak_delta_bytes,avg_selector_elapsed_s,avg_selector_decode_fraction,avg_eviction_count,avg_entropy_gate,family,budget
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,uckv2_fixed_96,kv_retrieval,48,0.4583333333333333,101.875,0,0,0.3280037986472355,3.3286434488536543,7.281165627443495,18247680,4694400.0,0,0.1466898226235571,0.044004055282566,2.0,0.3072483103227928,UCKV2,96.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,full,kv_retrieval,48,0.9166666666666666,285.2708333333333,0,0,0.1830579487492893,3.0999481397927107,7.772002917826792,19445760,13191360.0,0,,,,,Full KV,
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,h2o_hh_128,kv_retrieval,48,0.3541666666666667,128.0,0,0,0.17860547389652,3.4251811050210867,7.053399780747469,18385920,5898240.0,0,,,24.0,,H2O,128.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,h2o_hh_192,kv_retrieval,48,0.4791666666666667,187.58333333333331,0,0,0.1708944600626031,3.5852580451246467,6.866309725737474,18385920,8643840.0,0,,,24.0,,H2O,192.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,h2o_hh_256,kv_retrieval,48,0.6041666666666666,233.76388888888889,0,0,0.1760861180622062,3.5071964445217723,7.0817603156854965,18385920,10771840.0,0,,,24.0,,H2O,256.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,h2o_hh_96,kv_retrieval,48,0.2916666666666667,96.0,0,0,0.1632566388340516,3.590827710896216,6.747721345078859,18385920,4423680.0,0,,,24.0,,H2O,96.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,uckv2_fixed_128,kv_retrieval,48,0.3541666666666667,133.875,0,0,0.1722831041873481,3.3110876822714395,7.359264504884185,18385920,6168960.0,0,0.1579180737007846,0.0439082963432341,2.0,0.261085409168405,UCKV2,128.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,uckv2_fixed_192,kv_retrieval,48,0.5,191.98958333333331,0,0,0.1545477943733809,3.321030546874075,7.3509163455802815,18385920,8846880.0,0,0.1842900819716912,0.0504678061692339,2.0,0.2282744810044974,UCKV2,192.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,uckv2_fixed_256,kv_retrieval,48,0.8333333333333334,236.90104166666663,0,0,0.1640720442925764,3.383089772501686,7.180403165315325,18385920,10916400.0,0,0.2317269265192104,0.0651051269746993,2.0,0.2092577468892172,UCKV2,256.0
outputs/experiments/20260711_125608_226654_uckv2_l1_seed41_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed41_b96_256,41,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,uckv2_fixed_96,kv_retrieval,48,0.2916666666666667,101.875,0,0,0.3832669435429731,3.3957693420422097,7.198266990467015,18385920,4694400.0,0,0.1907200674474249,0.0517212686326166,2.0,0.277610023261777,UCKV2,96.0
