run_dir,run_label,ablation,model,max_prompts,max_new_tokens,uckv2_lambda,uckv2_beta,uckv2_evict_every,uckv2_min_recent,uckv2_recent_fraction,split,policy,task_type,prompts,answer_contains,avg_kept_tokens,fallback_steps,abstain_steps,avg_prefill_s,avg_decode_s,decode_tokens_per_s,peak_cache_bytes,avg_cache_bytes,cuda_peak_delta_bytes,avg_selector_elapsed_s,avg_selector_decode_fraction,avg_eviction_count,avg_entropy_gate,budget
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,calibration,h2o_hh_256,kv_retrieval,12,0.3333333333333333,256.0,0,0,0.3682294862519484,2.6433122605036865,6.206964281510025,114370560,11796480.0,0,,,16.0,,256.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,calibration,uckv2_fixed_128,kv_retrieval,12,0.3333333333333333,134.5625,0,0,6.81880368408262,7.519718882002053,5.055778939721083,114370560,6200640.0,0,0.4266317336757008,0.0659580967676611,2.0,0.3399240663937901,128.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,calibration,uckv2_fixed_192,kv_retrieval,12,0.4166666666666667,198.5625,0,0,5.838853215253039,7.092236357745908,5.068366144024252,114370560,9149760.0,0,0.2860656042297099,0.0530249648028903,2.0,0.2609276317594438,192.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,calibration,uckv2_fixed_256,kv_retrieval,12,0.8333333333333334,262.5625,0,0,6.135284805505459,8.307440944413733,4.935030114099429,114370560,12098880.0,0,0.6788700425701487,0.0860939642309765,2.0,0.2304260557703394,256.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,evaluation,full,kv_retrieval,12,0.75,1208.75,0,0,0.91376109032232,2.700824447997244,6.302849642507179,114324480,55745280.0,0,,,,,
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,evaluation,h2o_hh_128,kv_retrieval,12,0.3333333333333333,128.0,0,0,0.4107157361674278,2.998199548746925,5.6599898160965125,113633280,5898240.0,0,,,16.0,,128.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,evaluation,h2o_hh_192,kv_retrieval,12,0.3333333333333333,192.0,0,0,0.4885836698352553,2.648677586830066,6.251849926485523,113633280,8847360.0,0,,,16.0,,192.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,evaluation,h2o_hh_256,kv_retrieval,12,0.3333333333333333,256.0,0,0,0.4120603644114453,2.624052392246085,6.267301549784808,113633280,11796480.0,0,,,16.0,,256.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,evaluation,uckv2_fixed_128,kv_retrieval,12,0.3333333333333333,134.5625,0,0,6.448791513830656,7.250640229169221,5.349019594565033,113633280,6200640.0,0,0.3580536664060976,0.0528805283222416,2.0,0.3456322203358406,128.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,evaluation,uckv2_fixed_192,kv_retrieval,12,0.4166666666666667,198.5625,0,0,6.128089864587916,7.340973263996905,5.4250422610819165,113633280,9149760.0,0,0.2008345758440555,0.0370894357670682,2.0,0.3199778905390745,192.0
